Title,Artist Name,Location Name,County Department,Year Created,Location Street,Artwork Type,Technique,Media & Support,Supervisor District,Dimensions,Accession Number
ooo,Merge Conceptual Design,Allen J. Martin Park,Parks and Recreation,2008,"14830 East Giordano Street
La Puente 91744
",Mural,Stenciling,"Shewin Williams paint, styrene stencils",1,Varied,2008.1.a-.c
Convergence,Matt Dehaemers,Fire Station 156,Fire,2011,"24525 Copperhill Drive
Santa Clarita 91350
",Sculpture,Carving,"Lithocrete, carved boulder",5,,2011.2
Maps and Maping: The Firefighter's Life Line,Eric Powell,Fire Station 156,Fire,2011,"24525 Copperhill Drive
Santa Clarita 91350
",Sculpture,Welding,Steel,5,,2011.5
Untitled,Mario Cespedes,Graham Library,Public Library,2001,"1900 East Firestone Avenue
Los Angeles 90001
",Mural,Mural painting,Acrylic,2,,2010.11
George Washington,Jean Antoine Houdon,Grand Park,Internal Services,1933,"Grand to Hill between First &amp; Temple
Los Angeles 90012
",Sculpture,Casting,Bronze on granite,1,9 ft. 10 in.x 3 ft. 10 in.x 3 ft. 3 in.* (3 x 1.2 x 1 m),2009.2
Vietnam Memorial,Frank Ackerman,Grand Park,Internal Services,1973,"Grand to Hill between First &amp; Temple
Los Angeles 90012
",Sculpture,Casting,Bronze on granite,1,4 ft. 4 in.x 1 ft. 11 in.x 11 in.* (1.3 x 0.6 x 0.3 m),2009.25
Christopher Columbus,Francesco Perotti,Grand Park,Internal Services,1973,"Grand to Hill between First &amp; Temple
Los Angeles 90012
",Sculpture,Casting,Bronze on granite,1,9 ft. 8 in.x 3 ft. 9 in.x 3 ft. 4 in.* (2.9 x 1.1 x 1 m),2009.26
Remembrance of Genocide in the Ukraine,Unknown,Grand Park,Internal Services,20th century,"Grand to Hill between First &amp; Temple
Los Angeles 90012
",Monument,Casting,bronze on stone,1,,2009.66
Untitled (Sunburst),David Gray,Health Services Administration Building,Health Services,1971,"313 North Figueroa Streeet
Los Angeles 90012
",Sculpture,Casting,Cast bronze,1,8 ft.x 8 ft.* (2.4 x 2.4 m),2015.2
Elevations (1),Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2011,"11833 South Wilmington Avenue
Los Angeles 90059
",Sculpture,Casting,"Aluminum, Venetian plaster",2,22 ft.x 7 ft.x 12 ft.* (6.7 x 2.1 x 3.7 m),2011.6.1.a-.b
Poppies - X - 3 - A,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.1
Poppies - X - 3 - B,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.2
Poppies - X - 3 - C,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.3
Radiolarien - Burst,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.4
Radiolarien - Mace,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.5
Radiolarien - Star,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.6
Radiolarien - Stars,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ulltra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.7
Radiolarien - Twist,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.8
Radiolarien - Twist,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.9
Radiolarien - Twist,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.10
Untitled,Frank Matranga,Masao W. Satow Library,Public Library,1974,"14433 South Crenshaw Boulevard
Gardena 90249
",Mural,Tiling,Stoneware,2,8 ft. 11 in.x 10 ft. 2 in.* (2.7 x 3.1 m),2009.31
Untitled,Dora De Larios,Norwood Library,Public Library,1977,"4550 North Peck Road
El Monte 91732
",Mural,Tiling,Glazed ceramic,1,8 ft.x 16 ft.* (2.4 x 4.9 m),2009.39
The Spirit is Like the Wind,Norman Grochowski,Topanga Library,Public Library,2012,"122 Topanga Canyon Drive
Topanga 90290
",Sculpture,Welding,Painted steel,3,24 ft.x 20 ft.x 14 ft.* (7.3 x 6.1 x 4.3 m),2011.7.1.a-.g
The Spirit is Like the Wind (Light Sconces),Norman Grochowski,Topanga Library,Public Library,2012,"122 Topanga Canyon Drive
Topanga 90290
",Sculpture,Welding,Painted steel,3,1 ft. 6 in.x 1 ft.x 6 in.* (0.5 x 0.3 x 0.2 m),2011.7.2.1-.6
First Light,James C. Sullivan,Topanga Library,Public Library,2012,"122 Topanga Canyon Drive
Topanga 90290
",Floor,Tiling,Unglazed ceramic,3,5 ft.x 8 ft.* (1.5 x 2.4 m),2011.9
A Great Tale,Megan Rice,Topanga Library,Public Library,2012,"122 Topanga Canyon Drive
Topanga 90290
",Sculpture,Casting,"Papier maché, fiberglass cloth, casting resin, acrylic on wire mesh, wood",3,4 ft. 8 in.x 3 ft.x 3 ft.* (1.4 x 0.9 x 0.9 m),2011.10.1
Horse and Reader,Megan Rice,Topanga Library,Public Library,2012,"122 Topanga Canyon Drive
Topanga 90290
",Sculpture,Casting,"Papier maché, fiberglass cloth, casting resin, acrylic  on wire mesh, wood",3,6 ft.x 6 ft. 10 in.x 3 ft. 2 in.* (1.8 x 2.1 x 1 m),2011.10.2
Topanga View (with locals),Topanga Art Tile,Topanga Library,Public Library,2012,"122 Topanga Canyon Drive
Topanga 90290
",Mural,Mosaic; Tiling,Ceramic,3,8 ft.x 8 ft.x 1 ft.* (2.4 x 2.4 x 0.3 m),2012.2
Untitled (Exterior),Dora De Larios,Compton Library,Public Library,1973,"240 West Compton Boulevard
Compton 90220
(33.895902, -118.225479)",Mural,Tiling,Ceramic,2,8 ft.x 20 ft.* (2.4 x 6.1 m),2009.28.1
Meso Ridge,Ricardo Duffy,East Los Angeles Civic Center,Internal Services,2005,"4800 East 3rd Street
Los Angeles 90022
(34.033269, -118.160724)",Sculpture,Tiling,"Ceramic, aluminum",1,72 ft.x 16 ft.x 16 ft.* (21.9 x 4.9 x 4.9 m),2009.64.1
Untitled (Welcome to Los Angeles),Daniel Dodd,Department of Public Social Services District Office,Public Social Services,2003,"813 East 4th Place
Los Angeles 90013
(34.044105, -118.235988)",Mural,Tiling,Ceramic,1,* (m),2009.65.1
Edible Estates,Fritz Haeg,Descanso Gardens,Parks and Recreation,2008,"1418 Descanso Drive
La Canada Flintridge 91011
(34.203796, -118.211159)",Garden,Landscaping,"Soil, plants, wood, insects, pavers",5,35 ft.x 70 ft.* (10.7 x 21.3 m),T.2008.3
Flight,Tom Van Sant,Huntington Park Library,Public Library,1970,"6518 Miles Avenue
Huntington Park 90255
(33.980329, -118.219109)",Sculpture,Casting,Aluminum,1,10 ft.x 2 ft.* (3 x 0.6 m),2009.21
BBUBBLES,Bob Zoell,Castaic Aquatic Center,Parks and Recreation,2013,"31230 North Castaic Road
Castaic 91384
(34.486066, -118.615708)",Glass,Glazing,Ceramic frit on glass,5,,2013.5
Fire Break,Garin Baker,Fire Station 150,Fire,2012,"19190 Golden Valley Road
Santa Clarita 91350
(34.392439, -118.465709)",Mural,Mural painting,Oil on canvas,5,10 ft.x 28 ft.* (3 x 8.5 m),2012.4
The Meadow,Denise L. Jones,Agoura Hills Library,Public Library,2001,"29901 Ladyface Court
Agoura Hills 91301
(34.143871, -118.775792)",Mural,Mural painting,Acrylic on wall,3,14 ft. 3 in.x 24 ft.* (4.3 x 7.3 m),2009.55
Baywatch Avalon,Sandow Birk,Avalon Lifeguard Paramedic Headquarters,Fire,2009,"440 Avalon Canyon Road
Avalon 90704
(33.337795, -118.330772)",Mural,Tiling,Glazed ceramic,4,10 ft.x 8 ft.* (3 x 2.4 m),2009.79
Untitled,Frank Matranga,Diamond Bar Library,Public Library,1977,"21800 Copely Drive
Diamond Bar 91765
(34.000727, -117.829316)",Mural,Tiling,Ceramic,4,9 ft.x 8 ft. 5 in.* (2.7 x 2.6 m),2009.37
"Our Bodies, Our Temples",Juliana Martinez,San Fernando High Teen Health Center,Health Services,2014,"11133 O'Melveny Avenue
San Fernando 91340
(34.272636, -118.442278)",Mural,Mural painting,Ceramic,3,,2015.6
Subdivisions,Anne Marie Karlsen,Lawndale Library,Public Library,2008,"14715 Burin Avenue
Lawndale 90260
(33.897686, -118.353792)",Glass,Glazing,Ceramic melting glass,2,20 ft.x 15 ft.* (6.1 x 4.6 m),2008.9
Fun at the Lennox Plunge,Wayne Healy,Lennox Park Pool House,Parks and Recreation,2008,"10828 South Condon Avenue
Lennox 90304
(33.937402, -118.359135)",Mural,Tiling,Glazed ceramic,2,17 ft.x 8 ft.x 10 in.* (5.2 x 2.4 x 0.3 m),2008.16
Topographical Map,Joseph Young,Hall of Records,Internal Services,1962,"320 West Temple Street
Los Angeles 90012
(34.056179, -118.244056)",Mural,Mosaic,"Glass, granite, copper tubing",1,20 ft.x 80 ft.* (6.1 x 24.4 m),2009.14
Nembi,Elena Manferdini,Hubert H. Humphrey Comprehensive Health Center,Health Services,2013,"5850 South Main Street
Los Angeles 90003
(33.98852, -118.273931)",Sculpture,Metal cutting,stainless steel,2,,2013.8
With a Little Help From My Friends,Shepard Fairey,LAC+USC Medical Center,Health Services,2012,"1200 North State Street
Los Angeles 90033
(34.06078, -118.20895)",Mural,Mural painting,Paint,1,40 ft.* (12.2 m),M.2012.10
Water Sun Fire,Christine Nguyen,Fire Station 132,Fire,2012,"29310 Sand Canyon Road
Santa Clarita 91387
(34.441127, -118.419162)",Cyanotype,Printmaking,ink,5,,2012.6.1-.25
"California Landscape, Variation 1",Ken Gonzales-Day,South Los Angeles County Administration Building,Chief Executive Office - Real Estate,2007,"8300-8400 Vermont
Los Angeles 90044
(33.963491, -118.291593)",Mural,Tiling,Ceramic,2,10 ft. 11 in.x 27 ft. 6 in.* (3.3 x 8.4 m),2007.2.1
God Blesses Everyone That Tries,Richard Haro,Ruben F. Salazar Park Senior Center,Parks and Recreation,2000,"3864 Whittier Boulevard
Los Angeles 90023
(34.023918, -118.189997)",Mural,Mural painting,"Acrylic, mirrors",1,20 ft.x 30 ft.* (6.1 x 9.1 m),2009.54
Untitled (Mask 10),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.10
Untitled (Tripod),Benjamin Dominguez,Whittier Narrows Recreation Area,Parks and Recreation,1961,"823 Lexington-Gallatin Road
South El Monte 91733
(34.035698, -118.052669)",Sculpture,Casting,"Concrete, steel, paint",1,8 ft. 6 in.x 10 ft.x 4 ft.* (2.6 x 3 x 1.2 m),2009.84.6
Untitled (Sculpture 10),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.29
Tone of the Earth,Roberto Lloyd Delgado,Woodcrest Library,Public Library,2010,"1340 West 106th Street
Los Angeles 90044
(33.940028, -118.299854)",Mural,Collage,"Fiberglass mesh, acrylic, adhesive",2,5 ft.x 12 ft.* (1.5 x 3.7 m),2010.4
Untitled (Mask 2),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.2
Untitled,Harold Roach,West Hollywood Sheriff's Station,Sheriff,1982,"780 North San Vicente Boulevard
West Hollywood 90069
(34.084446, -118.383811)",Sculpture,Casting,Steel on concrete,3,9 ft.* (2.7 m),2009.44
The Water Cycle: Eternal Flow / El Ciclo del Agua: Eterno Manantial,Sonia Romero,Eugene A. Obregon Park,Parks and Recreation,2009,"4021 East 1st Street
Los Angeles 90063
(34.036429, -118.178366)",Mural,Stenciling,"Acrylic paint, flexible plastic stencils",1,6 ft.x 40 ft.* (1.8 x 12.2 m),2008.12.4.a-.j
Untitled (Pump),Michele C. Martinez,Helen Keller Park,Parks and Recreation,2008,"12521 South Vermont Avenue
Los Angeles 90044
(33.918736, -118.291833)",Mural,Tiling,Terra cotta,2,6 ft. 9 in.x 15 ft. 3 in.* (2.1 x 4.6 m),2007.1.1
Untitled (Proper Left Bas Relief Figures),Gaetana Salvatore Cartaino Scarpitta,LAC+USC General Hospital,Health Services,1933,"1200 North State Street
Los Angeles 90033
(34.06078, -118.20895)",Sculpture,Bas-relief,Stone,1,,2009.3.2.a-.c
Portal de Ensueños,Denis Richardson,Lennox Library and Constituent Services Center,Public Library,2009,"4359 Lennox Boulevard
Lennox 90304
(33.938197, -118.352139)",Glass,Glazing,Stained glass,2,,2009.78.a-.c
"CIRCUMSOLAR, MIGRATION 2",Rebeca Mendez,Pico Rivera Library,Public Library,2013,"9001 Mines Avenue
Pico Rivera 90660
(33.991268, -118.088866)",Mural,Printing,Ink on cotton canvas,1,,2014.2.1
Free Assembly,Helen Lundeberg,Bob Hope Patriotic Hall,Military and Veterans Affairs,1942,"1816 South Figueroa Street
Los Angeles 90015
(34.035381, -118.271381)",Mural,Mural painting,Oil on canvas,1,15 ft.x 12 ft.* (4.6 x 3.7 m),2009.83.2
Reflections of a Community,Lucy Blake-Elahi,Firestone Boulevard,Public Works,2011,"Firestone and Hooper
Los Angeles 90002
(33.960155, -118.253987)",Fence,Metal cutting,"Galvanized, powdercoated steel",2,,2013.3
Untitled (Based on the Wind in the Willows),Image Crafts,Walnut Library,Public Library,1985,"21155 La Puente Road
Walnut 91789
(34.025698, -117.843354)",Mural,Mural painting,"a) Mural: Paint on board; b) Tree: Plastic, wood",1,,2012.20.a-.b
Untitled (Mask 14),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.14
Untitled (Pavers),Roberto Lloyd Delgado,East Los Angeles Civic Center,Internal Services,2007,"4800 East 3rd Street
Los Angeles 90022
(34.033269, -118.160724)",Mural,Tiling,"Glazed porcelain, limestone",1,,2009.69.3.1-.97
Circle of Ripple,James T. Dinh,Hacienda Heights Community and Recreation Center,Parks and Recreation,2014,"1234 Valencia Avenue
Hacienda Heights 91745
(34.013208, -117.979297)",Sculpture,Tiling,"Porcelain enamel steel, concrete, rock, sculpted earth, sycamore trees, deer grass, no mow lawn",4,1 ft.x 2 ft.x 1/16 in.* (0.3 x 0.6 m),2014.8.a-.b
Unknown,Livio Napolitani,Montebello Library,Public Library,1966,"1550 West Beverly Boulevard
Montebello 90640
(34.019309, -118.115798)",Mural,Mosaic,Glass,1,12 ft. 6 in.x 22 ft. 9 in.* (3.8 x 6.9 m),2009.17.a-.b
Building Community,Robin Strayhorn,Ted Watkins Memorial Park,Parks and Recreation,2009,"1335 East 103rd Street
Los Angeles 90002
(33.94327, -118.251396)",Mural,Tiling,"Ceramic, grout",2,7 ft. 2 in.x 5 ft. 8 in.x 5 ft. 8 in.* (2.2 x 1.7 x 1.7 m),2009.74
Village Tree,Shin Gray Studio,Lennox Library and Constituent Services Center,Public Library,2014,"4359 Lennox Boulevard
Lennox 90304
(33.938197, -118.352139)",Sculpture,Welding,"Main column and branches: Carbon steel, Tnemec Fluoronar paint; Leaves: Powder coated aluminum",2,12 ft.* (3.7 m),2013.11
Untitled (Community Mural Panel B),Michele C. Martinez,Helen Keller Park,Parks and Recreation,2008,"12521 South Vermont Avenue
Los Angeles 90044
(33.918736, -118.291833)",Mural,Tiling,Terra cotta,2,6 ft. 9 in.x 15 ft. 3 in.* (2.1 x 4.6 m),2007.1.2
Oceanic Cosmic Whisper,Christine Nguyen,Malibu Library,Public Library,2012,"23519 Civic Center Way
Malibu 90265
(34.036298, -118.689131)",Mural,Firing,Porcelain enamel,3,8 ft.x 14 ft.* (2.4 x 4.3 m),2012.8
SOMETHING HAPPENED ON THE OLD ROAD #4 (SHOTOR #4),Henk Pander,Fire Station 108,Fire,2008,"28799 Rock Canyon Drive
Santa Clarita 91380
(34.468729, -118.514066)",Painting,Painting,Winsor and Newton watercolor paints on paper,5,,2008.15.2.4
Circum-Spectrum,"Airworks Studio, Inc.",Hubert H. Humphrey Comprehensive Health Center,Health Services,2010,"5850 South Main Street
Los Angeles 90003
(33.98852, -118.273931)",Sculpture,Metal cutting,"Polycarbonate sheeting, stainless steel, acrylic latex enamel",2,,2010.3
Untitled (Relief Sculpture 1),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.15
Untitled (Sculpture 6),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.25
Desert Creatures,Elizabeth Garrison,Stephen Sorenson Park,Parks and Recreation,2012,"16808 Avenue P
Lake Los Angeles 93591
(34.60386, -117.83068)",Mural,Tiling,Ceramic,5,,2012.15.2.a-.eee
Untitled (Mask 13),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.13
Untitled (Mask 7),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.7
Untitled (Community Mural Panel C),Michele C. Martinez,Helen Keller Park,Parks and Recreation,2008,"12521 South Vermont Avenue
Los Angeles 90044
(33.918736, -118.291833)",Mural,Tiling,Terra cotta,2,6 ft. 9 in.x 8 ft. 3 in.* (2.1 x 2.5 m),2007.1.3
Untitled,Joseph Young,Leland R. Weaver Library,Public Library,1973,"4035 Tweedy Boulevard
South Gate 90280
(33.94375, -118.201416)",Sculpture,Casting,Concrete,1,,2009.29
Untitled (Sculpture 4),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.23
Untitled (Sculpture 7),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.26
Unknown,David L. Kraisler,Hawthorne Library,Public Library,1978,"12700 Grevillea Ave
Hawthorne 90250
(33.917222, -118.354696)",Sculpture,Bas-relief,"Fiberglass, cast stone on plywood",2,,2014.6
The Water Cycle: Eternal Flow / El Ciclo del Agua: Eterno Manantial,Sonia Romero,City Terrace Park,Parks and Recreation,2008,"1126 North Hazard Avenue
Los Angeles 90063
(34.049492, -118.179367)",Mural,Stenciling,"Acrylic paint, flexible plastic stencils",1,7 ft.x 96 ft.* (2.1 x 29.3 m),2008.12.3.a-.i
Preamble to the Constitution,Helen Lundeberg,Bob Hope Patriotic Hall,Military and Veterans Affairs,1942,"1816 South Figueroa Street
Los Angeles 90015
(34.035381, -118.271381)",Mural,Mural painting,Oil on canvas,1,15 ft.x 12 ft.* (4.6 x 3.7 m),2009.83.1
El Movimiento (The Movement),Oscar Magallanes,Florence Avenue Lot,Community Development Commission,2012,"1616 East Florence Avenue
Los Angeles 90017
(33.974749, -118.244772)",Mural,Mural painting,Paint,2,112 ft.* (34.1 m),M.2012.1
Untitled (Community Mural Vermont Panel),Michele C. Martinez,Helen Keller Park,Parks and Recreation,2008,"12521 South Vermont Avenue
Los Angeles 90044
(33.918736, -118.291833)",Mural,Tiling,Terra cotta,2,,2007.1.5
Untitled,Geri Jimenez Gould,La Crescenta Library,Public Library,2009,"2809 Foothill Boulevard
La Crescenta 91214
(34.224587, -118.240654)",Floor,Casting,Bronze,5,,2010.1
