Grantee Name,Discipline,Grant Award,Project,OGP Category,Grantee Website,Application Year
24th Street Theatre,Theatre,$33800.00,To support the development of a touring program.,II,http://www.24thstreet.org,2014-15
A Noise Within,Theatre,$36600.00,"To support outreach activities, events and programs.",III,http://www.anoisewithin.org,2014-15
A Window Between Worlds,Visual Arts,$39600.00,"To support a new staff position, artist collaboration and convening.",2.5,http://www.awbw.org,2014-15
Acme Performance Group,Theatre,$16400.00,To support the creation of a new play development program.,I,http://www.movingarts.org,2014-15
Actors Gang  Inc.,Theatre,$30500.00,To support artistic and management salaries.,II,http://www.theactorsgang.com,2014-15
Angel City Arts,Presenting,$11400.00,To support the Angel City Jazz Festival.,II,http://www.angelcityarts.org,2014-15
Aresis Ensemble d.b.a City Garage,Theatre,$23200.00,To support the salary of the artistic director.,I,http://www.citygarage.org,2014-15
"Armand Hammer Museum of Art and Cultural Center, Inc.",Visual Arts,$114700.00,To support the public engagement program.,III,http://www.hammer.ucla.edu,2014-15
Armory Center for the Arts,Arts Education,$52200.00,To support free arts programming.,III,http://www.armoryarts.org,2014-15
Artist Consortium,Dance,$9800.00,To support administrative development.,I,http://www.haekyungleeanddancers.org,2014-15
Arts & Services for Disabled,Multidisciplinary,$38000.00,To support outreach programs.,III,http://www.artsandservices.org,2014-15
Arts for LA,Arts Service ,$29600.00,To support the salaries of the executive and development directors.,II,http://www.artsforla.org,2014-15
Association for the Advancement of Filipino Arts & Culture,Multidisciplinary,$14600.00,To support staff salaries.,II,http://www.filamarts.org,2014-15
Autry National Center of the American West,Theatre,$108900.00,To support the development and presentation of new work for the stage by Native American writers.,III,http://www.autrynationalcenter.org,2014-15
Beach Cities Symphony,Music-Instrumental,$9400.00,To support free classical music concerts.,I,http://www.beachcitiessymphony.org,2014-15
"Benita Bike's DanceArt, Inc.",Dance,$3600.00,To support dancer fees.,I,http://www.DanceArt.org,2014-15
Body Weather Laboratory,Dance,$14900.00,To support the Flower of the Season dance performance series and movement research workshops.,I,http://www.lightningshadow.com,2014-15
Burbank Philharmonic Orchestra,Music-Instrumental,$22500.00,To support fees for musicians and music director/conductor; cost of site rentals for performances.,I,,2014-15
California Alliance for Arts Education,Arts Service ,$23300.00,"To support the review, customization, and re-organization of our database system, staff training on database metrics and analytics.",2.5,http://www.artsed411.org,2014-15
Camerata Singers of Long Beach,Music-Choral/Opera,$12500.00,To support a second orchestrated performance in the annual season.,II,http://www.longbeachcameratasingers.org,2014-15
Cantori Domino,Music-Choral/Opera,$14000.00,To support transition management.,I,http://www.cantoridomino.org,2014-15
Center for Cultural Innovation,Arts Service ,$40600.00,To support services for artists.,2.5,http://www.cciarts.org,2014-15
Chalk Repertory Theatre,Theatre,$4300.00,To support a new co-artistic producing director position.,I,http://www.chalkrep.com,2014-15
Chorale Bel Canto,Music-Choral/Opera,$18500.00,"To support costs for venues, printing and mailing, and executive director salary.",I,http://www.choralebelcanto.org,2014-15
Claremont Chorale  Inc.,Music-Choral/Opera,$11400.00,To support two concerts of a major choral work with orchestra.,I,http://www.claremontchorale.org,2014-15
Claremont Community School of Music,Arts Education,$27600.00,To support instructor salaries for an expanded ensemble and group class program.,2.5,http://www.claremontmusic.org,2014-15
Coeurage Theatre Company,Theatre,$7800.00,To support theatre programming and venue rental.,I,http://www.coeurage.org,2014-15
Collage Dance Theatre,Dance,$18900.00,To support three administrative positions.,II,http://www.collagedancetheatre.org,2014-15
CONTRA-TIEMPO  Inc.,Dance,$23700.00,To support artistic director salary.,II,http://www.contra-tiempo.org,2014-15
Cornerstone Theater Company,Theatre,$40000.00,"To support “pay what you can” tickets, accessible venues, and transportation services.",III,http://www.cornerstonetheater.org,2014-15
Craft and Folk Art Museum Incorporating the Egg and the Eye,Visual Arts,$29700.00,To support exhibition programming.,2.5,http://www.cafam.org,2014-15
"CRE Outreach Foundation, INC",Arts Education,$11200.00,To support artistic director salary.,II,http://www.creoutreach.org,2014-15
Culver City Public Theatre  Inc.,Theatre,$3800.00,To support free summer theatre.,I,http://www.ccpt.org,2014-15
Dance Camera West,Media Arts,$13200.00,To support the salary of the festival coordinator and programs.,I,http://www.dancecamerawest.org,2014-15
Dancessence  Inc.,Dance,$7800.00,To support the salary of administrative managing director and for rehearsal/performance pay for dancers.,I,http://www.dsdancers.com,2014-15
Diavolo Dance Theatre,Dance,$52100.00,To support concert presentations accompanied by interactive community engagement activities.,2.5,http://www.diavolo.org,2014-15
DMG Music Association  Inc.,Music-Instrumental,$11200.00,To support an audience expansion and media outreach initiative.,I,http://www.bhmusicfestival.org,2014-15
"Dream A World Education, Inc",Arts Education,$6400.00,To support staff salaries.,I,http://www.dreamaworldedu.org,2014-15
E.S.C.A.P.E.: Experience Santa Clarita's Actor's Performing Ensemble #,Arts Education,$22800.00,To support rehearsal studio rent and salaries for costume designers and assistant directors.,II,http://www.escapetheatre.org,2014-15
East West Players  Inc.,Theatre,$59700.00,To support mainstage productions and an additional week of rehearsal.,2.5,http://www.eastwestplayers.org,2014-15
Ebony Repertory Theatre,Multidisciplinary,$24500.00,To support artistic programming and information technology upgrades.,II,http://www.ebonyrep.org,2014-15
Echo Park Film Center,Media Arts,$14900.00,To support Echo Park Film Center Filmmobile free screenings and workshops.,II,http://www.echoparkfilmcenter.org,2014-15
Elemental Strings,Arts Education,$19900.00,To support music instruction for elementary school students.,I,http://www.elementalstrings.com,2014-15
EngAGE  Inc.,Multidisciplinary,$55000.00,To support multidisciplinary arts program.,2.5,http://www.engagedaging.org,2014-15
Enrichment Works,Arts Education,$19500.00,To support executive director salary.,I,http://www.enrichmentworks.org,2014-15
"ETM-LA, INC. / Education through Music-LA",Arts Education,$33000.00,To support music education programs.,II,http://www.etmla.org,2014-15
Festival of New American Musical Theater Foundation,Presenting,$9400.00,"To support SHOWSEARCH MUSICAL theatre training, monitoring and showcase program for youth.",II,http://www.lafestival.org,2014-15
Fierce Backbone,Theatre,$9400.00,To support four workshop productions of new plays developed.,I,http://www.fiercebackbone.com,2014-15
Film Independent  Inc.,Media Arts,$73500.00,To support Project Involve.,III,http://www.FilmIndependent.org,2014-15
FLAX,Multidisciplinary,$12900.00,"To support residencies, exhibitions, performances, public programs and publications.",II,http://www.flaxfoundation.org,2014-15
Flights of Fantasy Media Company,Theatre,$8600.00,To support professional development and performances in schools.,I,http://www.flightsoffantasy.org,2014-15
Friends of Levitt Pavilion - Greater Los Angeles & Pasadena,Presenting,$46000.00,To support a director of marketing and public relations.,2.5,http://www.levittla-pas.org,2014-15
Friends of McGroarty Arts Center,Multidisciplinary,$22600.00,To support staff salaries.,II,http://www.mcgroartyartscenter.org,2014-15
Friends of the Junior Art Center,Visual Arts,$11400.00,To support the Artist in Residence program director and website manager.,II,http://www.barnsdallarts.org,2014-15
Gabriella Axelrad Education Foundation,Arts Education,$66000.00,To support Everybody Dance! program.,2.5,http://www.gabri.org,2014-15
Gay Men's Chorus of Los Angeles,Music-Choral/Opera,$31100.00,"To support performances at concert halls, theaters, schools and other venues.",2.5,http://www.gmcla.org,2014-15
"Get Lit-Words Ignite, Inc.",Arts Education,$26700.00,To support the salaries of the managers of arts in education.,II,http://www.getlit.org,2014-15
Glendale Youth Orchestra,Music-Instrumental,$8900.00,To support conductor salary.,I,http://www.glendaleyouthorchestra.com,2014-15
Grand Vision Foundation,Presenting,$26900.00,To support the salary the audience development coordinator and program manager.,II,http://www.grandvision.org,2014-15
Guild Opera Company  Inc.,Music-Choral/Opera,$8000.00,To support opera programs for children.,I,http://www.guildopera.org,2014-15
Hands for Hope,Arts Education,$9500.00,To support executive director and development coordinator salaries.,II,http://www.hands4hope.org,2014-15
Hatchery Arts,Multidisciplinary,$25900.00,To support marketing efforts for the annual Hollywood Fringe Festival.,II,http://www.hollywoodfringe.org,2014-15
Hernandez Mariachi Heritage Society,Music-Instrumental,$11000.00,To support mariachi musical instrument instruction.,II,http://www.mariachi-sol.com,2014-15
"Highways, Inc.",Multidisciplinary,$22700.00,To support Latino artists and audiences initiative.,II,http://www.highwaysperformance.org,2014-15
Imagination Workshop Inc.,Theatre,$14900.00,To support executive director salary.,I,http://www.imaginationworkshop.org,2014-15
Independent Shakespeare Co. Inc.,Theatre,$32300.00,To support artistic salaries for the Griffith Park Free Shakespeare Festival.,II,http://www.iscla.org,2014-15
Interact Theatre Company,Theatre,$8600.00,To support theatre rental and personnel.,I,http://www.interactla.org,2014-15
International Documentary Foundation,Media Arts,$40000.00,To support Doc U program for documentary filmmakers.,III,http://www.documentary.org,2014-15
Invertigo Dance Theatre,Dance,$21700.00,To support the creation and continuation of an executive director position.,I,http://www.invertigodance.org,2014-15
"Jabberwocky Theatre Company, DBA Rogue Machine Theatre",Theatre,$21700.00,To support administrative staff salaries.,II,http://www.roguemachinetheatre.com,2014-15
Jacarandamusic,Music-Instrumental,$24400.00,"To support the salaries and benefits of the artistic, executive director and executive assistant.",II,http://www.jacarandamusic.org,2014-15
Japanese American National Museum,Multidisciplinary,$59800.00,To support free annual festivals and Conversations speaker series.,III,http://www.janm.org,2014-15
"Jazz Angel, Inc.",Music-Instrumental,$13600.00,To support after school music enrichment program.,I,http://www.jazzangel.org,2014-15
Jazz Bakery Performance Space,Presenting,$31000.00,To support The Jazz Bakery's Moveable Feast series.,II,http://www.jazzbakery.org,2014-15
Kadima Conservatory of Music,Music-Instrumental,$18900.00,"To support strategic plan and ""Music in San Fernando"" project.",I,http://www.kadimaconservatory.com,2014-15
Kenneth Walker Dance Project,Dance,$3600.00,To support company dancer and designer salaries.,I,http://www.kennethwalkerdanceproject.org,2014-15
Keshet Chaim Dancers,Dance,$10600.00,To support executive director and administrator salaries.,II,http://www.kcdancers.org,2014-15
Kidspace Children's Museum,Arts Education,$51200.00,To support Free Family Night program.,III,http://www.kidspacemuseum.org,2014-15
Korean American Music Foundation,Music-Instrumental,$11600.00,To support youth orchestra program.,I,http://www.kamfla.org,2014-15
L.A. Theatre Works,Media Arts,$66300.00,To support investments in marketing and fund development.,2.5,http://www.latw.org,2014-15
LA Artcore Center,Visual Arts,$13900.00,To support administrative projects.,II,http://www.laartcore.org,2014-15
La Petite Musicale of Culver City,Theatre,$13800.00,To support marketing / costs.,I,http://www.crowncitytheatre.com,2014-15
LA Plaza de Cultura y Artes,Multidisciplinary,$52200.00,"To support Spanish language translation of permanent exhibition content, way finding signage, and development of a Spanish language audio guide.",III,http://www.lapca.org,2014-15
Lark Musical Society  Inc.,Music-Instrumental,$33100.00,To support the commissioning and presentation of new musical works.,II,http://www.larkmusicalsociety.com,2014-15
Latin American Cinemateca of Los Angeles,Media Arts,$8400.00,"To support screenings of classic and emerging Latin American films, the annual student film festival and the Last Remaining Seats program.",I,http://www.lacla.org,2014-15
Les Figues Press,Literary Arts,$18900.00,To support salary for the executive director and computer/software upgrades.,I,http://www.lesfigues.com,2014-15
Los Angeles Art Association,Visual Arts,$20700.00,To support program manager and gallery associate positions.,II,http://www.laaa.org,2014-15
Los Angeles Balalaika Orchestra,Music-Instrumental,$5900.00,"To support the rental of concert hall venues, hiring of artists and performers and for the music education of student orchestra members.",I,http://www.russianstrings.com,2014-15
Los Angeles Chamber Choir  Inc.,Music-Choral/Opera,$8100.00,To support staff and artistic salaries and rental costs.,I,http://www.lachamberchoir.com,2014-15
Los Angeles Chamber Orchestra Society  Inc.,Music-Instrumental,$52200.00,To support the production and broadcast of a multi-week radio series in collaboration with Classical KUSC.,III,http://www.laco.org,2014-15
Pasadena Master Chorale Association,Music-Choral/Opera,$12100.00,"To support BACH330, a two concert series.",II,http://www.pasadenamasterchorale.org,2014-15
Los Angeles Choreographers and Dancers  Inc.,Dance,$22600.00,"To support production costs, marketing materials, artist and staff stipends and rehearsal space.",I,http://www.LAChoreographersAndDancers.org,2014-15
Los Angeles Downtown Arts District Space,Arts Service ,$6900.00,To support strategic planning process and staff salaries.,II,http://www.ladadspace.org,2014-15
Los Angeles Drama Club  Inc.,Arts Education,$20600.00,To support artistic director salary.,I,http://www.losangelesdramaclub.com,2014-15
Los Angeles Forum for Architecture and Urban Design,Multidisciplinary,$7700.00,To support the organization's online presence and part-time administrative assistant.,I,http://www.laforum.org,2014-15
Los Angeles Jazz Society,Arts Education,$12500.00,To support a part time grant writer and administrative assistance.,II,http://www.lajazz.org,2014-15
Los Angeles Jewish Symphony,Music-Instrumental,$14600.00,To support administrative staff salaries.,II,http://www.lajewishsymphony.com,2014-15
Los Angeles Master Chorale Association,Music-Choral/Opera,$56300.00,To support increased access through two KUSC-FM radio broadcast series.,III,http://www.lamc.org,2014-15
Los Angeles Music and Art School,Arts Education,$30600.00,To support development associate salary.,2.5,http://www.lamusart.org,2014-15
Los Angeles Nomadic Division,Visual Arts,$20300.00,To support technological upgrades and staffing.,I,http://www.nomadicdivision.org,2014-15
Los Angeles Philharmonic Association,Music-Instrumental,$233300.00,To support education and community engagement programs.,III,http://www.laphil.com,2014-15
Los Angeles Symphony,Music-Instrumental,$10500.00,To support performances.,II,http://www.LASymphonyOrchestra.org,2014-15
Los Angeles Women's Theatre Festival,Multidisciplinary,$13100.00,To support the 22nd and 23rd Women's Theatre Festivals.,I,http://www.lawtf.com,2014-15
Machine Project,Multidisciplinary,$19500.00,To support staff salaries.,II,http://www.machineproject.com,2014-15
Madison Project (Broad Stage),Presenting,$68600.00,To support education programs.,III,http://www.thebroadstage.com,2014-15
Matsutoyo Kai,Traditional & Folk Art,$12600.00,To support artistic salaries.,I,http://www.matsutoyokai.com,2014-15
Metropolitan Master Chorale,Music-Choral/Opera,$14800.00,To support salaries of the artistic director and accompanist.,I,http://www.metrosings.org,2014-15
"Mountainside Master Chorale, inc.",Music-Choral/Opera,$19200.00,To support development of new choral works.,I,http://www.mountainsidemasterchorale.org,2014-15
Muae Publishing Inc,Literary Arts,$9800.00,To support administrative director salary.,I,http://www.kaya.com,2014-15
Museum of Jurassic Technology,Multidisciplinary,$30500.00,To support programming and artist honoraria.,II,http://www.mjt.org,2014-15
Museum of Latin American Art,Visual Arts,$54600.00,To support the continuation of Extended Hours programming.,III,http://www.molaa.org,2014-15
Neighborhood Music School Association,Arts Education,$26400.00,To support executive director salary.,II,http://www.neighborhoodmusic.org,2014-15
Norris Center for the Performing Arts,Arts Education,$49600.00,To support outreach services and on site performing arts instruction.,III,http://www.norriscenter.com,2014-15
Odyssey Theatre Foundation,Theatre,$37500.00,To support and sustain increased artist fees and maintain production costs.,2.5,http://www.odysseytheatre.com,2014-15
ONE National Gay & Lesbian Archives,Visual Arts,$22400.00,To support gallery and exhibitions assistant position.,II,http://www.ONEarchives.org,2014-15
Outfest,Media Arts,$52700.00,To support increased access to Outfest Los Angeles LGBT Film Festival.,III,http://www.outfest.org,2014-15
Overtone Industries,Multidisciplinary,$10800.00,To support managing director’s salary.,II,http://www.overtoneindustries.org,2014-15
Pacific Opera Project,Music-Choral/Opera,$11000.00,To support artistic director and music director salaries.,I,http://www.pacificoperaproject.com,2014-15
Palos Verdes Art Center,Visual Arts,$49900.00,To support free admission to exhibitions and related programming.,III,http://www.pvartcenter.org,2014-15
Pan African Film Festival,Media Arts,$27900.00,To support new marketing program to expand social media and telecommunications.,II,http://www.paff.org,2014-15
Parson's Nose Productions,Theatre,$15900.00,To support productions in the 2014-2015 and 2015-2016 seasons.,I,http://www.parsonsnose.com,2014-15
826LA,Arts Education,$38200.00,To support two new positions.,2,http://www.826la.org,2015-16
Peninsula Symphony Association,Music-Instrumental,$9300.00,To support the third concert in the 2014/2015 and 2015/2016 seasons.,II,http://www.peninsulasymphony.org,2014-15
Piano Spheres,Music-Instrumental,$16800.00,To support two seasons of piano recitals .,I,http://www.pianospheres.org,2014-15
"Playwrights' Arena, Inc.",Theatre,$26800.00,To support development and production of new works for the stage.,II,http://www.playwrightsarena.org,2014-15
Positive Motions Foundation,Music-Instrumental,$3800.00,To support to provide quality classical music instruction.,I,http://www.GlendalePhil.com,2014-15
Project X Foundation for Art and Criticism,Visual Arts,$8900.00,To support the creation of a full time executive director postion.,II,http://www.x-tra.org,2014-15
Rangoli Foundation For Art & Culture,Dance,$16800.00,To support Sacred Geometry project.,I,http://www.rangoli.org,2014-15
Red Hen Press,Literary Arts,$29200.00,To support publicist and development associate salaries.,II,http://www.redhen.org,2014-15
reDiscover Center  Inc.,Arts Education,$6500.00,To support administrative salaries.,II,http://www.reDiscoverCenter.org,2014-15
Rhapsody In Taps Incorporated,Dance,$6400.00,To support artistic projects.,I,http://www.rhapsodyintaps.com,2014-15
Rio Hondo Symphony Association,Music-Instrumental,$11000.00,"To support new computer equipment, fund development software, staff training and a consultant to facilitate the project.",II,http://www.riohondosymphony.org,2014-15
Robey Theatre Company,Theatre,$11800.00,To support site specific arts engagement projects.,II,http://www.robeytheatrecompany.com,2014-15
Rosanna Gamson / World Wide,Dance,$7600.00,To support the Los Angeles premiere of Layla Means Night.,I,http://www.rosannagamsonworldwide.org,2014-15
Santa Clarita Artists Association Inc.,Visual Arts,$5800.00,To support the annual SCAA Classic and scholarship program.,I,http://www.santaclaritaartists.org,2014-15
"Santa Clarita Ballet Company, Inc.",Dance,$15800.00,To support managing director salary.,II,http://www.santaclaritaballet.net,2014-15
Santa Clarita Shakespeare Festival,Theatre,$7000.00,"To support the administration, educational outreach programs and the annual summer festival.",I,http://www.scshakespearefest.org,2014-15
Santa Monica Group Theatre,Theatre,$19600.00,To support increased artists' salaries.,II,http://www.SantaMonicaPlayhouse.com,2014-15
Santa Monica Museum of Art,Visual Arts,$40600.00,To support educational outreach programs at low or no cost.,III,http://www.smmoa.org,2014-15
Santa Monica Symphony Association,Music-Instrumental,$11600.00,To support ongoing efforts to engage the community.,II,http://www.smsymphony.org,2014-15
Screamfest Horror Film Festival,Media Arts,$15500.00,To support staff salaries.,I,http://www.screamfestla.com,2014-15
Self Help Graphics and Art Inc,Visual Arts,$29000.00,To continue executive director salary.,II,http://www.selfhelpgraphics.com,2014-15
Seraphim Theatre Company/Echo Theatre,Theatre,$4000.00,To support space rental costs.,I,http://www.echotheatercompany.com,2014-15
Shumei Arts Council of America,Multidisciplinary,$4700.00,To support bus transportation and artistic fees.,I,http://www.shumeiarts.org,2014-15
Sierra Madre Playhouse,Theatre,$9900.00,"To support marketing consultant, improve online presence and create promotional materials.",II,http://www.sierramadreplayhouse.org,2014-15
Skirball Cultural Center,Multidisciplinary,$135000.00,"To support Sunset Concerts at the Skirball, an annual series of free world music concerts.",III,http://www.skirball.org,2014-15
Skylight Theatre Company,Theatre,$18200.00,To support executive director.,II,http://www.skylightheatrecompany.com,2014-15
SoCal Symphony Society,Music-Instrumental,$12600.00,To support annual orchestra costs.,II,http://www.culvercitysymphony.org,2014-15
Son of Semele Ensemble  Inc.,Theatre,$14100.00,"To support producing, artistic director and technical director salaries.",I,http://www.sonofsemele.org,2014-15
South Coast Chorale Inc.,Music-Choral/Opera,$12500.00,To support artistic and creative directors salaries as well as concert musicians.,I,http://www.sccsingers.com,2014-15
Southland Opera,Arts Education,$14300.00,"To support programming, arts education and marketing costs.",II,http://www.southlandopera.org,2014-15
Southwest Chamber Music Society,Music-Instrumental,$28300.00,To support the implementation of the 2014 Los Angeles International New Music Festival and planning for the 2016 LA International New Music Festival.,2.5,http://www.swmusic.org,2014-15
St. Matthew's Music Guild,Music-Instrumental,$16100.00,To support the commissioning and performance of two musical compositions.,II,http://www.musicguildonline.org,2014-15
Street Poets  Inc.,Arts Education,$21800.00,To support poetry workshops and live poetry performances.,2.5,http://www.streetpoetsinc.com,2014-15
Szoboszlay Sandor Hungarian Theatre of Southern Ca,Traditional & Folk Art,$9900.00,To support artistic and operating expenses.,I,,2014-15
Taiko Project,Traditional & Folk Art,$15900.00,To support administrative and artistic staff salaries.,II,http://www.TAIKOPROJECT.com,2014-15
Tay'Yer Multicultural Performance Collective,Theatre,$7100.00,To support community theater writing and acting workshops.,I,,2014-15
TeAda Productions,Theatre,$12000.00,To support artistic and administrative projects.,II,http://www.teada.org,2014-15
The Concert Singers,Music-Choral/Opera,$5000.00,"To support repertoire, and instrumentalist and soloist fees.",I,http://www.theconcertsingers.com,2014-15
The Foundation of the Neo-Renaissance,Music-Choral/Opera,$4500.00,To support administrative director salary.,I,http://www.jouyssance.org,2014-15
The Harmony Project,Arts Education,$42100.00,To support pre-instrumental and instrumental musicianship classes.,III,http://www.harmony-project.org,2014-15
"The Industry Productions, Inc.",Music-Choral/Opera,$15100.00,To support artistic director salary.,II,http://www.industryproductions.com,2014-15
The Los Angeles Youth Orchestra,Arts Education,$26300.00,To support director of development salary.,II,http://www.losangelesyouthorchestra.org,2014-15
The Museum of Contemporary Art Los Angeles,Visual Arts,$140100.00,"To support four education programs: Contemporary Art Start, Sunday Studio, Exhibition Highlight Tours and Art Talks.",III,http://www.moca.org,2014-15
The Pasadena Community Orchestra Foundation,Music-Instrumental,$6800.00,To support artistic salaries and musicians’ stipends.,I,http://www.pcomusic.org,2014-15
The Production Company Los Angeles  Inc.,Theatre,$16600.00,To support ongoing facility rental.,I,http://www.theprodco.com,2014-15
The Sacred Fools Theater,Theatre,$12500.00,"To support artist stipends, materials costs and rent for theater and office space.",II,http://www.sacredfools.org,2014-15
The Theatre @ Boston Court,Theatre,$46100.00,To support development staff.,2.5,http://www.bostoncourt.org,2014-15
Theatre Forty Inc,Theatre,$22900.00,To support a dedicated development professional.,II,http://www.theatre40.org,2014-15
"Theatre Movement Bazaar, Inc.",Theatre,$10600.00,To support artistic and executive director stipends.,I,http://www.TheatreMovementBazaar.org,2014-15
Theatre Of Hearts  Inc.,Arts Education,$12100.00,To support administrative salaries and computer/software upgrades.,II,http://www.theatreofhearts.org,2014-15
United States Veterans' Artists Alliance,Multidisciplinary,$9600.00,To support executive director salary.,I,http://www.usvaa.org,2014-15
"Valley Culture Center-Warner Park, Inc.",Presenting,$26100.00,To support the artistic expansion of the Concerts on the Green Series.,2.5,http://www.vcultural.org,2014-15
Venice Arts: In Neighborhoods,Arts Education,$40300.00,To support gallery and public programs.,2.5,http://www.venice-arts.org,2014-15
Vincent Price Art Museum Foundation,Visual Arts,$19500.00,To support a development associate position and development software upgrade.,II,http://www.vincentpriceartmuseum.org,2014-15
Viver Brasil Dance Company,Dance,$15600.00,To support the managing director position.,II,http://www.viverbrasil.com,2014-15
Vox Femina Los Angeles,Music-Choral/Opera,$12200.00,"To support website upgrades, implement Patron Manager and initiate a planned giving program.",II,http://www.voxfeminala.org,2014-15
VS. Theatre Company,Theatre,$10200.00,To support space rental costs.,I,http://www.vstheatre.org,2014-15
West Coast Singers,Music-Choral/Opera,$17000.00,To support annual holiday concert.,I,http://www.westcoastsingers.org,2014-15
WordTheatre,Multidisciplinary,$10100.00,To hire a content coordinator to manage data.,II,http://www.WordTheatre.com,2014-15
Young Musicians Foundation,Music-Instrumental,$40800.00,To support performances of the Debut Orchestra.,2.5,http://www.ymf.org,2014-15
18th Street Arts Complex,Visual Arts,$34300.00,To support Artist Labs Residencies and Curator in Residence programs.,2,http://www.18thstreet.org,2015-16
501 (see three) ARTS,Theatre,$18200.00,"To support the creation and production of Pang!, a triptych of live experimental radio plays from oral histories of three families.",1,http://www.danfroot.com,2015-16
A D Architecture and Design Museum > Los Angeles,Visual Arts,$23500.00,To support ReveaLALA: Reframing Latino Identity in Los Angeles.,2,http://www.aplusd.org,2015-16
About Productions Inc.,Theatre,$20900.00,To support a theater arts residency program for high school students in East L.A.,1,http://www.aboutpd.org,2015-16
Afro-American Chamber Music,Music-Instrumental,$4200.00,To support artistic fees for the Black Symphonist Concert Series.,1,http://www.aacms.weebly.com,2015-16
Alliance for California Traditional Arts,Arts Service ,$42200.00,To support programs and staff compensation.,3,http://www.actaonline.org,2015-16
American Composers Forum of Los Angeles,Music-Instrumental,$3500.00,To support administrative staff stipends.,1,http://www.composersforum.org,2015-16
American Museum of Ceramic Art,Visual Arts,$33400.00,"To support collections manager and registrar salaries, collections management software and storage supplies.",2,http://www.ceramicmuseum.org,2015-16
American Youth Symphony,Music-Instrumental,$33700.00,To support the Hollywood Project yearly symposium and concert.,2,http://www.aysymphony.org,2015-16
Angeles Chorale,Music-Choral/Opera,$19600.00,"To support managing director, fundraising and PR salaries.",1,http://www.angeleschorale.org,2015-16
Angels Gate Cultural Center,Multidisciplinary,$29600.00,To support arts programming in the Los Angeles Harbor and the South Bay region.,2,http://www.angelsgateart.org,2015-16
Antaeus Company,Theatre,$29700.00,To support the production managers salary.,2,http://www.antaeus.org,2015-16
Antics Performance,Dance,$16500.00,To support rehearsal studio rental stipends for dancers.,1,http://www.AnticsPerformance.com,2015-16
Automata Arts,Multidisciplinary,$17900.00,To support artistic and administrative staff and rental costs.,1,http://www.automata-la.org,2015-16
Avenue 50 Studio  Inc.,Visual Arts,$21500.00,"To support new community space initiative, and executive director and part-time administrative assistant salaries.",1,http://www.avenue50studio.com,2015-16
Baseball Reliquary  Inc.,Multidisciplinary,$6800.00,"To support executive director, research material, collection cost and programming.",1,http://www.baseballreliquary.org,2015-16
Beyond Baroque Foundation,Literary Arts,$21400.00,To support executive director and publicity director.,2,http://www.beyondbaroque.org,2015-16
Bilingual Foundation of the Arts,Theatre,$19100.00,To support the production of plays that preserve and promote the heritage of Hispanic culture.,2,http://www.bfatheatre.org,2015-16
Blue13 Dance Company,Dance,$14300.00,To support touring and marketing.,1,http://www.blue13dance.com,2015-16
Brentwood Westwood Symphony Orchestra Assoc,Music-Instrumental,$3900.00,"To support free concerts, young musicians scholarships, educational outreach, collaborative events and community music participation opportunities.",1,http://www.bwso.org,2015-16
